,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
14173,3.3340000000000005,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29712,3.9,164,23.2,5.5,47.0,52.5
14174,0.0,96.9,0.6,0.6,0.2,0.0,0.8,0.8,2.0,95.7,31606,5.6,2720,22.7,4.2,18.9,23.1
14201,0.0,56.1,17.4,0.8,1.7,0.0,19.3,4.7,36.6,42.6,20883,35.8,6442,3.2,7.6,62.7,70.3
14202,15.3775,61.1,24.3,0.0,1.0,0.0,9.3,4.3,19.2,54.6,29878,15.4,2228,22.9,7.4,30.7,38.1
14203,3.82125,34.9,48.0,0.0,3.5,0.0,12.5,1.0,16.1,32.8,25163,38.6,1129,9.6,2.6,46.1,48.7
14204,7.14,19.2,72.3,0.0,1.2,0.0,4.1,3.2,10.5,15.5,18097,34.0,5358,10.3,8.2,42.7,50.9
14208,3.57,15.1,78.4,0.1,3.0,0.0,1.2,2.3,3.4,14.6,16154,37.3,5664,6.5,8.5,68.5,77.0
14209,8.615,46.3,44.7,0.2,2.2,0.0,3.2,3.4,5.5,44.3,22189,30.7,4733,4.8,7.0,60.5,67.5
14217,0.0,92.3,5.1,0.3,0.5,0.0,0.3,1.4,2.9,90.1,33774,8.6,11537,20.9,18.3,43.6,61.9
14221,0.0,87.9,4.1,0.2,5.7,0.0,0.7,1.3,2.8,86.4,40361,6.0,23904,15.6,5.2,9.0,14.2
14222,9.19,73.4,13.8,0.1,5.2,0.0,4.3,3.2,7.8,71.2,30038,14.5,7915,5.3,7.3,75.6,82.9
14223,0.0,90.2,4.4,0.2,2.0,0.0,1.3,1.8,4.0,89.1,34809,6.9,10459,46.8,21.8,13.4,35.2
14224,12.5,96.8,1.3,0.1,0.3,0.0,0.6,0.7,1.7,95.9,33005,6.5,18660,20.7,5.9,11.2,17.1
14226,5.56,77.8,10.0,0.3,7.9,0.0,0.7,3.2,3.0,75.8,35775,13.1,13143,36.5,17.9,20.5,38.4
14227,0.0,90.6,3.6,0.2,4.1,0.0,0.2,1.3,3.1,88.4,29595,8.2,11056,10.8,2.8,5.1,7.9
14228,0.0,72.3,7.9,0.2,14.0,0.1,1.1,4.3,5.0,70.2,27127,22.1,9923,5.2,1.1,5.2,6.3
14302,0.0,91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,11797,52.9,56,66.1,0.0,0.0,0.0
14303,7.41,64.7,23.3,3.4,1.4,0.1,0.3,6.9,7.0,60.2,20634,35.5,3492,10.9,15.8,62.8,78.6
14411,6.25,82.7,12.0,0.3,0.8,0.0,2.2,2.1,5.9,79.4,25049,18.2,5543,6.2,2.9,50.2,53.1
14414,0.0,95.9,0.2,0.0,1.8,0.0,0.2,1.9,1.2,94.9,31852,7.9,3094,11.9,0.8,26.0,26.8
14416,0.0,90.9,0.3,0.2,1.7,0.0,0.5,6.4,0.8,90.8,26081,11.9,1470,5.9,1.6,34.8,36.4
14418,0.6941666666666667,99.7,0.0,0.0,0.0,0.0,0.0,0.3,4.4,95.3,36131,11.8,858,0.0,2.7,34.1,36.8
14420,0.0,91.1,2.0,0.0,1.8,0.0,2.7,2.3,7.1,87.8,22012,15.5,7623,8.7,3.6,20.4,24.0
14422,0.6666666666666666,98.7,0.3,0.2,0.6,0.0,0.0,0.2,0.6,98.1,28023,10.3,996,9.0,1.9,35.9,37.8
14423,0.0,92.8,2.0,0.0,1.9,0.0,1.4,1.9,2.3,92.5,30643,7.9,2010,8.9,3.0,33.9,36.9
14427,0.9071428571428573,96.8,1.3,0.5,0.7,0.0,0.0,0.8,2.4,94.4,30725,13.6,1004,8.8,7.1,45.7,52.8
14428,0.0,97.8,0.7,0.0,0.2,0.0,0.0,1.3,2.4,95.8,34232,6.6,3292,7.4,1.8,18.6,20.4
14432,0.0,96.1,1.8,0.0,0.1,0.0,1.0,1.1,3.2,94.5,25194,10.3,2453,1.6,1.4,46.8,48.2
14435,0.9046666666666668,96.5,1.7,0.8,0.1,0.0,0.0,0.9,1.8,94.9,35984,10.8,1728,10.6,4.0,24.4,28.4
14437,0.0,89.7,7.1,0.2,0.0,0.0,1.1,1.9,4.0,86.7,22372,19.2,4630,8.7,4.6,37.0,41.6
14441,0.0,96.5,0.0,0.0,0.0,0.0,0.0,3.5,18.9,81.1,25750,11.0,229,17.9,4.4,52.8,57.2
14450,0.0,92.3,1.6,0.1,4.0,0.0,0.4,1.6,3.4,89.5,41055,5.5,17742,6.0,2.9,8.5,11.4
14454,3.0875,90.8,2.7,0.1,3.3,0.0,0.3,2.7,3.7,88.4,11883,28.2,3816,9.4,3.4,21.0,24.4
14462,0.0,95.1,0.0,0.0,0.8,0.0,1.4,2.7,1.4,95.1,31953,11.6,230,0.0,9.1,42.2,51.3
14464,0.0,94.8,3.7,0.0,0.4,0.0,0.1,1.1,1.7,93.2,27512,8.9,3033,2.1,1.1,21.9,23.0
14466,0.5555555555555556,97.9,0.0,0.0,0.0,0.0,0.9,1.2,2.5,96.7,31399,5.4,829,1.7,1.7,39.1,40.8
14467,0.0,79.1,9.2,0.2,7.0,0.0,2.6,2.0,2.9,76.3,31315,14.3,4252,8.7,0.0,5.0,5.0
14468,0.0,96.9,1.0,0.2,0.6,0.0,0.4,0.9,3.9,93.9,33838,4.7,7139,7.1,2.2,23.6,25.8
14469,0.0,98.0,0.6,0.1,0.0,0.0,0.4,0.8,1.3,97.3,31019,8.3,2720,3.9,2.2,32.9,35.1
14470,20.0,95.7,1.8,0.4,0.4,0.1,0.1,1.7,2.8,93.2,26501,13.8,3435,7.3,3.3,39.2,42.5
14471,0.0,94.2,0.0,2.2,0.2,0.0,0.0,3.4,9.6,84.6,27788,2.7,1963,25.0,9.7,22.7,32.4
14472,0.0,96.5,0.7,0.0,1.8,0.0,0.0,1.0,1.4,95.2,40158,8.8,3359,9.9,2.7,31.4,34.1
14475,0.0,96.9,0.0,0.0,0.0,0.0,3.1,0.0,12.8,87.2,36012,5.1,126,0.0,0.0,14.3,14.3
14476,0.8366666666666667,96.8,0.7,0.7,0.0,0.0,0.9,0.9,4.0,93.7,31585,13.3,1005,7.1,2.0,36.5,38.5
14477,2.2119999999999997,98.1,0.0,0.0,0.0,0.0,0.0,1.9,1.5,96.6,32533,15.5,770,4.5,1.2,39.6,40.8
14478,1.5877777777777775,80.3,4.4,2.2,8.5,0.0,3.9,0.7,5.4,79.8,6024,0.0,650,13.2,6.5,16.8,23.3
14480,0.0,86.0,6.5,0.0,7.5,0.0,0.0,0.0,0.0,86.0,14274,44.3,360,3.3,7.5,53.9,61.4
14481,0.0,92.3,0.8,0.8,0.5,0.0,4.3,1.3,5.2,91.4,29627,11.9,905,3.8,0.4,32.8,33.2
14485,0.9266666666666666,93.1,0.4,0.0,2.5,0.1,2.1,1.9,3.9,91.3,26325,8.6,1824,3.6,0.0,24.3,24.3
14487,0.0,96.7,0.5,0.3,0.5,0.2,0.0,1.8,1.1,96.2,36403,4.6,2646,5.6,2.9,45.9,48.8
14504,0.5492857142857143,98.8,0.0,0.1,0.0,0.0,0.0,1.1,2.5,96.4,28427,7.9,813,8.0,4.3,39.7,44.0
14506,0.0,99.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,99.3,53994,1.2,591,0.0,0.0,12.2,12.2
14507,2.1192307692307693,95.7,1.5,0.0,0.2,0.2,0.6,1.8,3.3,95.1,27730,18.8,902,3.5,5.2,26.1,31.3
14510,0.0,94.2,4.1,0.0,0.0,0.0,1.3,0.3,15.9,80.6,24424,21.6,2042,9.2,2.3,51.0,53.3
14511,0.0,94.8,1.5,0.0,0.0,0.0,0.0,3.7,0.0,94.8,35577,11.3,221,0.0,10.0,51.1,61.1
14512,0.6492857142857142,98.0,0.3,0.1,0.5,0.0,0.1,1.0,1.2,97.0,28520,13.2,2725,2.9,1.8,33.8,35.6
14514,0.0,89.7,3.2,0.0,2.0,0.0,0.0,5.1,3.7,87.3,34318,9.0,2728,7.2,3.5,7.7,11.2
14516,1.8250000000000004,94.6,1.5,0.1,0.2,0.0,3.1,0.6,8.3,89.3,31370,7.5,1130,3.4,7.1,36.5,43.6
14517,0.0,97.0,0.7,0.0,1.7,0.0,0.0,0.6,0.4,96.9,24497,17.2,1331,3.1,2.4,52.4,54.8
14521,0.0,95.5,0.7,1.2,0.9,0.0,0.9,0.7,1.8,94.6,24019,11.8,1240,9.4,6.2,40.1,46.3
14525,3.2963157894736836,94.8,1.7,0.5,0.0,0.0,2.7,0.3,3.0,94.6,33057,5.7,1027,4.9,4.2,32.6,36.8
14526,0.0,90.5,3.2,0.2,3.7,0.0,0.2,2.1,3.7,87.5,40466,4.0,8589,11.4,3.3,5.8,9.1
14530,0.0,94.9,0.7,0.2,0.2,0.0,1.6,2.4,4.0,92.6,27721,11.0,2732,5.9,8.2,58.0,66.2
14532,0.0,99.3,0.1,0.0,0.2,0.0,0.0,0.4,0.0,99.3,31552,5.6,1897,8.3,2.2,47.2,49.4
14533,0.7572727272727273,98.0,0.0,0.0,0.9,0.0,0.0,1.0,0.7,97.4,35087,4.0,764,8.2,1.2,51.3,52.5
14534,0.0,88.0,1.8,0.0,8.1,0.1,0.4,1.6,1.9,86.6,50314,2.4,12649,9.2,2.8,7.9,10.7
14536,0.0,96.0,0.0,0.0,1.1,0.0,0.0,2.9,3.1,93.3,27266,19.2,290,5.2,5.9,49.0,54.9
14539,0.0,86.8,0.0,0.0,0.0,0.0,0.0,13.2,0.0,86.8,31742,2.9,59,0.0,15.3,40.7,56.0
14541,1.1118181818181818,70.2,24.3,1.0,0.0,0.0,2.5,2.0,10.2,64.9,23199,10.4,1315,11.8,13.6,23.0,36.6
14542,14.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19583,31.4,20,0.0,0.0,75.0,75.0
14543,0.0,96.2,2.8,0.0,0.2,0.0,0.3,0.5,6.8,91.1,34052,4.6,1273,18.8,3.1,18.9,22.0
14544,0.42,96.6,0.7,0.2,0.0,0.0,0.0,2.5,2.7,94.1,26744,13.3,1263,5.9,2.1,32.5,34.6
14546,0.0,90.7,7.3,0.0,0.5,0.0,0.0,1.5,3.9,89.1,30792,12.6,2028,17.7,0.7,19.4,20.1
14548,0.5750000000000001,98.2,0.8,0.2,0.0,0.0,0.0,0.8,0.0,98.2,32794,14.0,1740,3.3,1.6,34.9,36.5
14549,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31563,0.0,39,0.0,41.0,12.8,53.8
14550,1.5414285714285716,95.2,0.3,1.4,1.0,0.0,0.2,1.8,1.5,93.9,26516,16.0,902,4.0,3.9,49.8,53.7
14559,0.0,97.1,1.3,0.1,0.3,0.0,0.2,1.0,6.5,90.8,35131,8.2,7011,13.8,2.2,16.5,18.7
14560,0.9261111111111112,99.2,0.1,0.0,0.0,0.0,0.5,0.2,0.9,98.9,31605,13.0,1139,7.3,3.3,30.1,33.4
14561,1.0975,99.1,0.1,0.0,0.3,0.0,0.0,0.4,1.5,97.6,32433,7.9,1223,6.1,5.8,54.6,60.4
14569,0.0,94.7,1.3,0.0,0.3,0.0,0.8,2.9,1.9,93.6,31110,15.8,2929,8.6,5.4,46.3,51.7
14571,1.2344444444444445,93.1,3.7,1.0,0.8,0.0,1.4,0.0,1.9,92.6,26729,26.2,745,17.9,4.3,45.5,49.8
14572,1.5163636363636364,96.6,0.8,0.4,0.0,0.0,0.0,2.2,0.6,96.1,26196,11.5,2609,4.6,4.1,36.9,41.0
14586,0.0,74.2,7.5,0.6,10.9,0.0,1.4,5.3,3.9,71.6,39375,8.1,4304,2.7,1.0,5.1,6.1
14591,0.5126666666666667,97.6,1.4,0.0,0.0,0.0,0.1,0.9,0.1,97.6,30541,9.7,724,3.6,3.2,46.1,49.3
14592,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31141,0.0,111,0.0,35.1,44.1,79.2
14604,0.0,57.6,32.1,0.0,3.0,0.0,1.3,6.0,10.4,48.5,15417,41.0,1905,13.1,1.7,42.5,44.2
14605,10.0,27.7,53.5,2.3,3.1,0.1,7.9,5.3,34.7,10.7,12204,48.2,5449,9.1,8.0,37.1,45.1
14607,0.0,81.9,11.8,0.3,3.0,0.0,1.0,2.0,4.9,79.6,30148,23.0,10303,8.8,7.8,60.3,68.1
14608,13.33,23.6,62.6,1.2,7.2,0.0,2.6,2.8,9.6,19.0,15643,48.1,6229,4.6,6.2,46.7,52.9
14610,0.0,87.2,5.7,0.1,2.3,0.0,1.2,3.4,5.9,83.4,39922,8.5,7494,24.3,11.4,33.8,45.2
14611,11.76,26.2,65.8,0.8,0.5,0.0,3.0,3.8,11.1,21.0,16447,41.6,8085,7.2,11.4,56.8,68.2
14613,17.65,41.1,42.3,0.3,7.1,0.0,2.3,6.9,21.8,27.8,19824,28.2,6103,2.5,10.3,68.8,79.1
14615,5.56,67.2,23.3,0.1,3.0,0.0,2.5,3.9,13.1,58.1,23513,22.7,7800,12.7,11.4,32.7,44.1
14616,0.0,83.1,9.2,0.4,2.6,0.0,1.9,2.8,5.6,79.6,28714,10.5,12893,27.8,13.0,13.8,26.8
14617,0.0,91.7,4.2,0.2,1.1,0.0,0.9,1.9,6.0,87.2,35792,6.3,10123,26.7,13.9,27.6,41.5
14618,0.0,84.5,4.5,0.1,7.8,0.1,0.9,2.2,4.0,81.9,38569,8.0,8795,20.5,10.6,22.8,33.4
14619,12.5,19.1,74.3,0.7,0.7,0.0,1.8,3.4,7.7,16.8,20749,27.6,6143,7.5,11.7,63.5,75.2
14620,0.0,72.1,14.7,0.3,8.8,0.1,1.2,2.7,6.6,67.8,25678,22.1,12386,8.0,9.8,47.5,57.3
14623,0.0,71.8,10.1,0.6,14.1,0.0,1.3,2.1,4.5,69.0,20907,21.2,9429,22.2,3.5,5.2,8.7
14625,0.0,95.8,0.5,0.2,1.6,0.0,1.0,0.8,2.8,94.4,38909,4.5,4684,18.1,5.5,9.8,15.3
14626,0.0,87.2,5.8,0.2,3.0,0.0,0.4,3.3,4.9,83.4,31097,7.2,13569,15.3,3.9,3.9,7.8
14706,0.0,95.8,0.7,0.5,1.8,0.0,0.3,0.9,1.0,95.1,26567,12.8,2973,13.0,4.7,22.4,27.1
14709,1.2815384615384615,97.4,0.0,0.0,1.5,0.0,0.1,1.0,1.5,96.0,26412,11.7,1025,3.0,1.8,36.4,38.2
14710,1.655,98.4,0.0,0.0,0.9,0.0,0.3,0.4,1.5,96.9,27453,10.5,2108,14.0,7.6,30.6,38.2
14711,2.7666666666666666,96.9,0.0,0.0,0.7,0.0,0.5,1.9,2.8,94.6,25000,18.0,1037,7.4,0.9,33.1,34.0
14712,0.4046153846153846,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,98.7,27976,11.3,2332,11.4,11.2,24.4,35.6
14714,0.0,98.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,98.2,28333,14.3,342,7.3,0.6,23.4,24.0
14715,1.4355555555555557,97.4,0.4,1.2,0.5,0.0,0.0,0.5,0.5,96.8,22031,19.1,1515,6.8,10.8,38.8,49.6
14716,2.105,83.7,10.7,0.0,0.1,0.0,4.9,0.6,9.0,80.7,18106,20.0,998,9.4,6.9,46.0,52.9
14717,0.0,96.4,0.0,1.5,0.0,0.0,0.0,2.1,0.6,95.7,22039,4.9,958,12.6,16.1,12.8,28.9
14718,0.6407692307692308,87.8,5.5,0.1,1.0,0.0,3.7,1.8,4.6,87.3,26915,10.4,1035,8.6,3.9,35.1,39.0
14719,2.3721428571428573,97.9,0.6,0.2,0.1,0.0,0.0,1.3,1.1,96.8,25253,18.5,1806,5.3,1.9,49.2,51.1
14720,2.02,96.7,0.0,0.0,2.3,0.0,0.0,1.0,5.9,90.8,22609,21.9,450,12.0,11.1,52.2,63.3
14723,1.6670000000000005,98.8,0.5,0.0,0.2,0.0,0.0,0.5,0.3,98.5,29375,15.2,624,4.5,6.3,42.1,48.4
14724,2.4250000000000003,99.2,0.2,0.0,0.2,0.0,0.0,0.4,0.0,99.2,24442,9.9,1561,6.4,7.2,23.6,30.8
14726,4.4228571428571435,99.7,0.0,0.1,0.0,0.0,0.0,0.2,1.0,98.7,23448,32.8,790,4.6,2.9,30.3,33.2
14727,3.0325,96.8,0.2,0.0,0.5,0.0,0.5,2.0,1.2,95.8,26500,13.3,3574,7.3,5.2,26.8,32.0
14728,0.0,96.7,0.0,0.0,0.0,0.0,0.0,3.3,0.0,96.7,24286,9.1,967,9.1,2.3,29.6,31.9
14729,2.7783333333333338,98.2,0.0,0.0,0.6,0.0,0.1,1.1,0.2,98.1,33292,11.5,491,3.1,2.4,37.1,39.5
14731,0.0,95.3,1.4,1.0,0.0,0.0,0.7,1.6,3.3,92.7,30329,9.3,2684,3.5,1.5,19.4,20.9
14733,0.0,96.6,0.8,0.0,0.9,0.0,0.6,1.1,1.8,95.5,23965,18.3,1739,10.5,7.0,52.3,59.3
14735,1.27,98.6,0.0,0.1,0.0,0.0,0.5,0.8,0.5,98.5,22190,23.7,1647,4.6,2.7,40.3,43.0
14736,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30000,14.7,156,0.0,0.0,26.3,26.3
14737,3.38,97.8,0.1,0.2,0.3,0.0,0.1,1.6,2.1,96.5,25694,15.6,2556,4.0,2.0,30.1,32.1
14738,0.44625,98.6,0.9,0.0,0.0,0.0,0.5,0.0,0.5,98.6,27854,5.4,1905,10.4,5.5,28.8,34.3
14739,3.011538461538461,96.9,0.0,0.0,0.5,0.0,0.0,2.5,0.0,96.9,22347,18.8,1766,7.9,1.5,34.3,35.8
14740,0.0,99.4,0.0,0.0,0.0,0.0,0.3,0.3,0.9,98.8,22036,7.5,665,11.0,6.3,22.1,28.4
14741,0.8266666666666665,96.4,0.1,2.0,0.2,0.0,0.1,1.1,0.1,96.4,27724,13.1,1356,2.6,3.7,19.4,23.1
14743,1.3957142857142857,96.1,2.6,0.0,0.0,0.0,0.0,1.3,0.6,95.5,27303,13.9,957,5.4,4.8,33.8,38.6
14744,0.0,87.4,5.0,0.3,5.4,0.0,0.9,1.1,3.6,85.6,7439,13.2,546,8.6,3.3,27.8,31.1
14747,1.17,97.2,0.0,1.4,0.1,0.0,0.2,1.1,2.2,95.5,26056,16.2,1049,10.9,5.1,26.3,31.4
14748,0.0,70.9,0.0,27.6,0.3,0.0,0.0,1.2,1.1,70.9,17667,36.9,339,4.1,4.4,11.2,15.6
14750,0.0,97.6,0.4,0.0,1.2,0.0,0.0,0.8,0.7,96.9,30183,8.8,2470,18.7,11.0,23.3,34.3
14753,0.0,99.0,0.4,0.6,0.0,0.0,0.0,0.0,2.1,96.9,21979,18.4,574,7.8,9.9,30.0,39.9
14754,2.041428571428572,99.5,0.0,0.0,0.0,0.0,0.0,0.5,0.2,99.4,27679,15.2,376,8.0,4.3,22.9,27.2
14755,0.5892857142857143,93.3,2.0,2.0,0.0,0.0,1.2,1.5,3.1,92.2,24502,13.7,1694,7.5,6.2,37.4,43.6
14757,0.3076923076923077,94.7,2.6,0.0,0.5,0.3,1.1,0.7,2.5,93.4,28229,15.2,2562,9.1,9.5,29.7,39.2
14767,0.0,98.3,0.0,0.0,0.0,0.0,1.1,0.6,1.7,98.1,24909,21.7,768,4.9,5.1,36.1,41.2
14769,0.0,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.8,20461,21.2,536,12.1,5.4,35.1,40.5
14770,1.71875,97.8,0.0,0.3,0.3,0.0,0.3,1.2,1.2,96.6,29923,13.5,1231,7.9,9.5,34.0,43.5
14772,0.0,96.0,0.3,1.2,0.1,0.0,0.0,2.5,2.7,94.9,24694,14.0,1709,7.0,7.7,39.6,47.3
14774,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,97.6,23750,12.2,31,16.1,16.1,32.3,48.4
14775,0.7328571428571429,98.0,0.8,0.0,0.0,0.0,0.6,0.5,1.8,96.9,22563,12.9,1227,9.5,3.4,43.8,47.2
14777,0.0,92.4,0.0,0.0,0.0,0.0,0.0,7.6,0.0,92.4,20800,9.8,831,12.9,6.0,21.7,27.7
14781,0.255,97.7,0.0,0.0,0.1,0.0,0.0,2.2,0.8,96.9,26000,11.0,927,8.1,0.6,51.0,51.6
14782,1.6780000000000002,96.4,1.0,0.1,0.3,0.0,0.0,2.2,1.6,94.8,22658,21.8,1113,5.0,3.4,38.0,41.4
14783,0.0,43.2,1.3,43.9,11.6,0.0,0.0,0.0,0.0,43.2,22371,24.0,210,0.0,7.6,19.5,27.1
14784,0.0,98.6,0.0,0.0,0.7,0.0,0.0,0.7,0.7,97.9,25101,26.1,497,8.9,3.6,23.1,26.7
14787,3.85,98.3,0.1,0.0,1.4,0.0,0.3,0.0,6.7,91.8,24402,16.4,2563,11.8,3.4,42.9,46.3
14802,0.0,82.2,9.8,0.5,4.0,0.0,2.5,1.0,7.4,78.1,4425,35.2,445,6.7,7.0,25.2,32.2
14803,0.0,94.6,1.5,0.0,3.5,0.0,0.0,0.4,0.1,94.4,28125,15.7,584,8.4,2.9,29.8,32.7
14804,0.0,95.9,0.2,0.0,2.6,0.0,0.0,1.2,0.4,95.5,28893,11.8,906,7.8,2.5,27.7,30.2
14805,0.6990909090909091,97.2,1.9,0.5,0.0,0.0,0.0,0.3,2.1,95.1,25865,15.5,468,4.5,3.4,37.4,40.8
14806,1.0261538461538462,98.8,0.0,0.0,0.9,0.0,0.0,0.2,1.3,97.6,26440,15.7,1118,6.6,10.2,37.4,47.6
14807,0.6257142857142857,98.5,0.2,0.0,0.3,0.0,0.5,0.4,1.2,97.3,24969,13.2,1449,4.3,3.0,27.8,30.8
14808,6.897999999999999,97.5,0.0,0.0,0.0,0.0,0.8,1.6,2.3,96.9,22750,8.8,240,1.3,10.8,61.7,72.5
14809,1.1984615384615385,97.6,0.6,0.0,0.2,0.3,0.8,0.6,1.0,97.0,26056,15.9,1181,4.7,4.0,39.5,43.5
14812,0.3448275862068966,97.2,1.5,0.0,0.4,0.0,0.6,0.3,2.2,95.6,27067,12.9,1388,19.3,2.6,16.9,19.5
14813,2.7626666666666666,94.6,2.5,0.3,0.2,0.0,0.5,1.9,1.3,94.0,25037,21.6,1393,6.2,4.0,39.6,43.6
14814,0.0,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.5,40500,2.8,644,15.7,2.8,15.7,18.5
14815,0.0,98.4,1.1,0.0,0.0,0.0,0.4,0.0,1.6,97.3,24250,18.0,702,9.4,5.4,22.2,27.6
14816,0.0,94.7,0.0,1.5,0.0,0.0,0.0,3.9,12.4,86.2,42768,1.5,144,2.8,0.0,58.3,58.3
14817,1.7492857142857143,86.4,6.4,0.0,1.6,0.0,0.0,5.6,2.4,84.7,28129,9.6,885,10.6,0.0,30.2,30.2
14818,4.582857142857144,97.1,0.0,0.0,0.5,0.0,0.0,2.4,1.3,95.8,26250,6.7,1179,5.7,4.4,37.7,42.1
14819,1.5275,99.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,99.0,15313,35.8,314,4.1,2.9,33.4,36.3
14820,2.307272727272728,99.3,0.2,0.0,0.0,0.0,0.2,0.2,1.0,98.6,22989,20.7,411,5.6,4.6,23.4,28.0
14821,1.1190909090909091,98.5,0.5,0.5,0.2,0.0,0.1,0.2,1.7,96.9,28464,12.3,1467,8.2,6.7,16.8,23.5
14822,0.0,96.1,0.0,0.0,1.9,0.0,2.1,0.0,2.2,93.9,25417,13.5,706,8.8,3.7,42.2,45.9
14823,1.3333333333333333,98.4,0.7,0.0,0.3,0.0,0.2,0.4,0.6,97.9,24814,13.9,2034,8.8,4.0,44.1,48.1
14824,0.0,93.6,0.0,0.2,5.0,0.0,0.0,1.2,2.0,91.6,22351,10.4,279,6.5,7.2,17.9,25.1
14825,0.0,98.6,0.1,0.0,0.0,0.0,0.0,1.3,0.0,98.6,27292,8.7,390,4.1,9.5,33.3,42.8
14826,2.9371428571428573,99.0,0.3,0.1,0.0,0.0,0.0,0.5,2.4,96.6,24451,17.4,1096,4.0,4.3,42.4,46.7
14830,7.14,92.8,2.7,0.2,2.0,0.0,0.3,1.9,1.4,91.9,29147,12.1,9534,11.8,9.1,42.0,51.1
14836,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,99.6,36782,6.3,492,4.9,1.0,19.3,20.3
14837,5.7057142857142855,96.7,1.0,0.0,0.2,0.0,1.0,1.1,0.9,96.5,24668,13.6,3096,5.2,3.6,37.9,41.5
14838,0.0,96.9,0.5,0.1,0.5,0.0,0.4,1.6,0.3,96.9,30078,9.8,897,4.9,2.5,17.1,19.6
14839,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,99.9,28050,26.2,421,1.7,2.9,45.4,48.3
14840,1.7814285714285714,96.5,2.2,0.0,0.0,0.0,0.3,1.0,1.2,95.8,30770,6.9,2952,11.8,5.5,35.8,41.3
14841,0.0,98.1,0.0,0.0,0.0,0.0,0.0,1.9,0.0,98.1,21522,18.4,595,9.6,12.8,35.6,48.4
14842,4.807777777777777,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22744,25.2,487,9.4,2.7,24.4,27.1
14843,15.38,95.0,0.8,0.2,0.7,0.0,0.5,3.0,2.4,93.6,22934,18.5,6085,5.7,7.2,52.9,60.1
14845,0.0,91.8,1.6,0.0,4.8,0.0,0.1,1.7,1.4,90.8,33519,7.4,9557,19.7,3.3,13.6,16.9
14846,0.0,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.5,99.4,28571,9.9,485,4.9,7.2,30.1,37.3
14847,2.821428571428572,96.2,0.5,0.6,0.7,0.0,0.0,2.1,1.6,94.8,26750,12.4,1308,10.9,4.9,37.9,42.8
14850,0.0,73.6,4.7,0.3,15.3,0.0,1.5,4.6,5.7,70.1,23047,25.9,27180,9.3,2.3,27.2,29.5
14855,4.354545454545455,99.2,0.1,0.0,0.4,0.0,0.4,0.0,0.4,99.2,26607,12.5,400,2.3,3.8,45.5,49.3
14858,0.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,96.8,26000,16.3,660,5.9,1.5,25.8,27.3
14859,0.0,91.1,0.0,0.0,0.0,0.0,0.0,8.9,2.0,89.1,27031,8.1,453,8.2,0.0,43.7,43.7
14860,3.125,99.0,0.0,0.1,0.3,0.0,0.7,0.0,0.9,98.8,28566,8.1,896,11.2,2.8,33.6,36.4
14861,2.315,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29440,11.9,697,9.0,2.3,21.1,23.4
14864,0.8925,94.7,0.0,0.0,0.2,0.0,3.7,1.4,5.7,92.7,24917,18.9,610,11.5,2.8,25.6,28.4
14865,2.1335714285714285,97.4,1.7,0.2,0.2,0.0,0.5,0.0,0.6,97.3,24517,19.6,1266,6.9,4.0,38.5,42.5
14867,0.0,93.9,1.4,0.8,1.3,0.0,0.0,2.6,3.4,91.5,30280,12.8,2663,6.4,1.3,20.1,21.4
14869,1.6071428571428572,97.9,0.5,0.2,0.0,0.0,0.0,1.5,0.3,97.5,26134,11.8,531,12.4,4.1,39.4,43.5
14870,0.0,86.0,3.5,0.0,8.1,0.0,0.4,2.0,2.2,84.2,33389,7.9,4510,14.0,4.2,18.5,22.7
14871,0.0,92.9,5.5,0.0,0.1,0.0,0.5,1.0,4.3,89.8,36010,5.6,2044,17.1,7.9,28.9,36.8
